Student,Job,Score,Status
Pavan,80,42,GOOD FIT
Pavan,60,52,GOOD FIT
Pavan,85,22,GOOD FIT
Pavan,70,72,GOOD FIT
Pavan,75,32,GOOD FIT
Rahul,80,-5,LOW FIT WARNING
Rahul,60,5,LOW FIT WARNING
Rahul,85,-25,LOW FIT WARNING
Rahul,70,25,GOOD FIT
Rahul,75,-15,LOW FIT WARNING
Priya,80,53,GOOD FIT
Priya,60,63,GOOD FIT
Priya,85,33,GOOD FIT
Priya,70,83,GOOD FIT
Priya,75,43,GOOD FIT
Amit,80,-30,LOW FIT WARNING
Amit,60,-20,LOW FIT WARNING
Amit,85,-50,LOW FIT WARNING
Amit,70,0,LOW FIT WARNING
Amit,75,-40,LOW FIT WARNING
Sneha,80,40,GOOD FIT
Sneha,60,50,GOOD FIT
Sneha,85,20,GOOD FIT
Sneha,70,70,GOOD FIT
Sneha,75,30,GOOD FIT
Rohan,80,10,LOW FIT WARNING
Rohan,60,20,GOOD FIT
Rohan,85,-10,LOW FIT WARNING
Rohan,70,40,GOOD FIT
Rohan,75,0,LOW FIT WARNING
Neha,80,59,GOOD FIT
Neha,60,69,GOOD FIT
Neha,85,39,GOOD FIT
Neha,70,89,GOOD FIT
Neha,75,49,GOOD FIT
Arjun,80,-10,LOW FIT WARNING
Arjun,60,0,LOW FIT WARNING
Arjun,85,-30,LOW FIT WARNING
Arjun,70,20,GOOD FIT
Arjun,75,-20,LOW FIT WARNING
Karan,80,36,GOOD FIT
Karan,60,46,GOOD FIT
Karan,85,16,LOW FIT WARNING
Karan,70,66,GOOD FIT
Karan,75,26,GOOD FIT
Meera,80,49,GOOD FIT
Meera,60,59,GOOD FIT
Meera,85,29,GOOD FIT
Meera,70,79,GOOD FIT
Meera,75,39,GOOD FIT
